POINT_ID,LC0_Desc,BDsample_0,coarse_mas,BDfine_0_2,coarse_vol,,
,Land Cover (Eurostat),BDsample_0_20_2018,coarse_mass_fraction,BDfine_0_20_2018_approx,coarse_volume_fraction_approx,,
54162172,Grassland,1.317,0,1.317,0,,
54162190,Woodland,1.285,0,1.285,0,,
54202132,Grassland,1.236,0,1.236,0,,
54222134,Cropland,1.443,0,1.443,0,,
54222278,Cropland,1.278,0.54,0.8,0.265,,
54282252,Grassland,1.231,0.03,1.211,0.014,,
54302142,Grassland,1.496,0.01,1.489,0.006,,
54382232,Woodland,1.045,0.1,0.979,0.04,,
54402264,Grassland,1.35,0.35,1.072,0.182,,
54402308,Grassland,1.271,0,1.271,0,,
54422204,Woodland,1.166,0.14,1.07,0.063,,
54442182,Grassland,1.577,0.63,0.944,0.382,,
54502242,Woodland,1.056,0,1.056,0,,
54502256,Cropland,1.319,0,1.319,0,,
54542164,Woodland,1.207,0.06,1.167,0.028,,
54582260,Woodland,1.16,0.14,1.064,0.062,,
54662170,Woodland,1.411,0.13,1.32,0.071,,
54882154,Woodland,1.267,0,1.267,0,,
54982278,Grassland,1.056,0,1.056,0,,
54642202,Woodland,1.121,0.16,1.011,0.069,,
54782212,Woodland,1.169,0.01,1.162,0.004,,
54862248,Grassland,1.374,0.14,1.276,0.074,,
54882204,Woodland,0.935,0,0.935,0,,
54922222,Woodland,1.076,0.11,1.003,0.046,,
54942224,Cropland,1.661,0.1,1.597,0.064,,
54942254,Cropland,1.48,0.01,1.473,0.006,,
55002216,Woodland,1.112,0.02,1.099,0.009,,
55062222,Cropland,1.471,0,1.471,0,,
55102172,Grassland,1.533,0.17,1.414,0.1,,
55102204,Woodland,1.1,0.11,1.026,0.047,,
55142186,Woodland,0.898,0.04,0.874,0.014,,
55182166,Woodland,1.028,0.15,0.928,0.059,,
55182252,Cropland,1.119,0.03,1.099,0.013,,
55222230,Cropland,1.241,0,1.241,0,,
55282244,Cropland,1.386,0,1.386,0,,
55302228,Grassland,1.21,0,1.21,0,,
55362180,Grassland,1.006,0.14,0.914,0.054,,
55362256,Cropland,1.287,0,1.287,0,,
55382214,Woodland,1.061,0.06,1.022,0.024,,
55402180,Woodland,0.955,0.09,0.899,0.033,,
55402270,Woodland,1.015,0.18,0.895,0.07,,
55442260,Cropland,1.313,0.06,1.273,0.03,,
55462186,Woodland,0.828,0.13,0.751,0.041,,
55462240,Cropland,1.392,0,1.392,0,,
55482170,Woodland,0.898,0,0.898,0,,
55482182,Grassland,1.287,0.09,1.226,0.045,,
55502248,Cropland,1.423,0,1.423,0,,
55622188,Woodland,1.086,0.08,1.034,0.033,,
55802164,Grassland,1.254,0.01,1.247,0.005,,
55802236,Cropland,1.041,0.17,0.927,0.068,,
55822214,Woodland,1.025,0.07,0.98,0.028,,
